business_name,category,rating,review_count,phone,website,email,address,city,state,zip_code,facebook,instagram,linkedin
Happy Tours Travel Agency,,4.5,,12132528559,http://www.happytourstravel.com/,,"2216 W Pico Blvd, Los Angeles, CA 90006, United States",Los Angeles,CA,90006,https://www.facebook.com/happytourstravelagency,https://www.instagram.com/happytourstravel/,
Festival Travel,,4.6,,13106238687,,,"227 W Manchester Blvd, Inglewood, CA 90301, United States",Inglewood,CA,90301,,,
Travel Landing USA,,4.8,,13239321222,,,"4801 Wilshire Blvd, Los Angeles, CA 90010, United States",Los Angeles,CA,90010,,,
Alcava Travel Agency,,4.8,,Send to phone,,,"4056 S Central Ave, Los Angeles, CA 90011, United States",Los Angeles,CA,90011,,,
Tropicana Travel Agency,,4.9,,18054832287,http://www.tropicanatravelagency.com/,sample@yourcompany.com,"361 S A St, Oxnard, CA 93030, United States",Oxnard,CA,93030,,,
All-Travel,,4.7,,18003004567,https://www.all-travel.com/?utm_source=gmb+listing&utm_medium=organic,,"2001 S Barrington Ave Suite 315, Los Angeles, CA 90025, United States",Los Angeles,CA,90025,https://www.facebook.com/AllTravelNetwork/,https://www.instagram.com/all.travel/,https://www.linkedin.com/company/all-travel/
Cali Travel,,4.9,,17145923715,http://calitravel.com/,info@calitravel.com,"12704 Hoover St, Garden Grove, CA 92841, United States",Garden Grove,CA,92841,http://www.facebook.com/calitravelus,https://www.instagram.com/calitravelus?igsh=NmtndGo5aDF6cnM2,
Holiday Travel Agency,,4.9,,12136576576,https://tantulika12.wixsite.com/travel/20,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"1418 S Vermont Ave, Los Angeles, CA 90006, United States",Los Angeles,CA,90006,,,
TravelStore Los Angeles - Headquarters,,4.5,,13105755540,https://www.travelstore.com/vacation/locations-leisure/los-angeles/,info@travelstore.com,"11538 San Vicente Blvd, Los Angeles, CA 90049, United States",Los Angeles,CA,90049,https://www.facebook.com/travelstoreinc,https://www.instagram.com/travelstore/,https://www.linkedin.com/company/travelstore
California Travel,,4.9,,13232650014,https://www.amigonotarytax2.com/,user@domain.com,"2108 E Cesar E Chavez Ave, Los Angeles, CA 90033, United States",Los Angeles,CA,90033,https://www.facebook.com/profile.php?id=100009295144895,https://www.instagram.com/amigonotarytax2/?hl=es,
새한여행사 Saehan Travel & Tours,,4.4,,12133834988,http://www.newkoreatravel.com/,newkoreatravel@yahoo.com,"2717 W Olympic Blvd Suite 203, Los Angeles, CA 90006, United States",Los Angeles,CA,90006,,,
Mission Valley Travel Inc.,,4.7,,19162414033,,,"1544 Eureka Rd #140, Roseville, CA 95661, United States",Roseville,CA,95661,,,
Mundo Travel Vacations Inc.,,4.9,,15597359999,http://mundotravelvacations.com/,contact@mundotravelvacations.com,"3112 N Dinuba Blvd, Visalia, CA 93291, United States",Visalia,CA,93291,https://www.facebook.com/mundotravelvacations,https://www.instagram.com/mundotravelvacations/,
Sky Tours & Travel Inc,,4.4,,13233732020,http://skytoursla.com/,info@skytoursla.com,"1927 S Western Ave #4, Los Angeles, CA 90018, United States",Los Angeles,CA,90018,https://www.facebook.com/SkyToursLA,https://www.instagram.com/skytoursla/,
